Fecha,Comentario,Estrellas,Likes
11 oct. 2022,No funciona como corresponde ya sea tecla de encendido y carga cuando quiere. No lo ude devolver ya que tire su caja.,Calificación 1 de 5,0
08 oct. 2022,Buenas tardes el producto salióalo una ves q lo apagó no lo puedo prender.,Calificación 1 de 5,0
07 oct. 2022,Se tilda mucho el táctil no responde se apaga solo y no prende una porquería.,Calificación 1 de 5,0
06 oct. 2022,Hoy el celular se quedó sin volumen que devo hacer donde devo hacer la devolución.,Calificación 1 de 5,0
06 oct. 2022,"A 3 meses el equipo empezó a fallar en los botones de encendido y volumen, sin sufrir ningún daño de ningún tipo. Necesito saber donde reclamar.",Calificación 1 de 5,0
05 oct. 2022,"Lento se traba, muy mala calidad aún para el precio.",Calificación 1 de 5,0
03 oct. 2022,Excelente!!!! muy conforme!!! agradecida.,Calificación 1 de 5,0
30 sep. 2022,"A los dos meses y una semana dejo de funcionar, malisima compra.",Calificación 1 de 5,0
29 sep. 2022,Un mal producto de la nada me dejó de funcionar el pingües de carga el botón de encendido y la entrada de auricular.,Calificación 1 de 5,0
28 sep. 2022,Pésimo se apago y no encendió más.,Calificación 1 de 5,0
28 sep. 2022,Exploto la bateria.,Calificación 1 de 5,0
25 sep. 2022,No hace un mes que lo compre y el teléfono funciona muy mal.,Calificación 1 de 5,0
20 sep. 2022,"Malísimo, un montón de fallas a nivel de sofware, un asco, hay veces que para sacar una foto hay que presionar 10 veces o más.",Calificación 1 de 5,0
17 sep. 2022,Malisimo. No lo compren. Tuve la mala suerte que al vibrar el teléfono se escucha algo suelto debajo de la tapa de la batería y para colmo viene con cargador común.,Calificación 1 de 5,0
01 sep. 2022,Muy ben telefono. Ideal para sacar fotos videos. Y para el precio esta bien. Se lo recomiendo. Lastima q con el tiempo comenzo a fallar. Por ej. Se el youtube se apaga solo. El wassap se cambia solo. Etc.,Calificación 1 de 5,0
26 ago. 2022,Ni una semana tiene y no dura la batería y la calidad en general no es tan buena.,Calificación 1 de 5,0
23 ago. 2022,Ya estaba usado. Tenia bajado juegos desde abril. Yo lo compre en agosto como nuevo.,Calificación 1 de 5,0
08 ago. 2022,Esta muy bueno vamos a decir excelente.,Calificación 1 de 5,2
20 nov. 2022,"Cuando lo compré y se lo mostre a unas compañeras me dijeron que asung nunca mas y ahora entiendo. Al mes de comprarlo con funda y glass colocado se me cayó, no fue un golpe grave, y la cámara frontal quedó con una rayita, malisima calidad en pantalla. Nunca me ha sucedido con lg o motorola. Adios selfies. Tampoco anda bien el google chrome y el instagram (reels) se tildan. Pésimo.",Calificación 1 de 5,1
08 sep. 2022,Muy bueno muy bueno muy bueno.,Calificación 1 de 5,1
07 sep. 2022,El celular esta bueno pero lo que me parece una falta de respeto hacia el comprador es que manden el equipo sin los auriculares.,Calificación 1 de 5,1
29 jul. 2022,Al mes estallo la bateria quedo inflado el telefono esla segunda vez que me pasa con un samsung.,Calificación 1 de 5,1
09 dic. 2023,"Pésimo, no lo compren. Lo peor de todo es que el táctil es muy malo. No reacciona bien y por momentos se queda tildado, y para que reaccione hay que pagar la pantalla y volver a encenderla. Muy malo, no lo compraría nunca más.",Calificación 1 de 5,0
28 sep. 2022,Marítimo trae fallas de fabricación!! no funciona bien la pantalla y las teclas laterales !! en menos de 20 días de uso.,Calificación 1 de 5,0
17 sep. 2022,El problema es que el celular no funciona todo el tiempo se reinicia en una palabra no funciona.,Calificación 1 de 5,0
17 ago. 2022,No funciona bien abre solo camvia solo y es como si sapateara.,Calificación 1 de 5,0
07 sep. 2022,El producto es malisimo no me anda bien la señal aparte la batería descarga muy rápido.,Calificación 1 de 5,0
26 ago. 2022,Comun simple sencillo para lo basico whatsapp y youtube bien. Para otras apps ya no. Es una gama baja y se comienza a trabar si le descargas otras apps.,Calificación 1 de 5,0
03 ago. 2022,Se tilda todo el tiempo. No sacaa las fotos.,Calificación 1 de 5,0
